Transaction_ID,Product_Code,Category,Quantity,Unit_Price,Order_Date,Status,Discount (%),Notes
1282,E-500,Electroménager,4,471.92,2023-06-25,Livré,0.2,
1378,C-300,Automobile,9,,2024-04-13,Expédié,0.15,Commande standard - lot 4
1287,C-300,Electroménager,10,192.56,2023-04-03,En préparation,10%,Commande standard - lot 5
1389,B-200,Jouets,-8,27.12,04/08/2024,En attente,0.14,Commande standard - lot 15
1886,C-300,Electroménager,2,409.49,11/17/2024,Annulé,0.2,Commande standard - lot 2
1719,E-500,Electroménager,1,465.43,2024-08-04,expédié,0.02,Commande standard - lot 1
1836,D-400,Jardin,4,424.8,11/23/2023,Expédié,0.21,Commande standard - lot 14
1097,F-600,Informatique,9,160.31,17-12-2023,Livré,0.15,Commande standard - lot 9
1245,A-100,Informatique,1,345.76,2023-09-12,en attente,0.02,Commande standard - lot 18
1737,G-700,Electroménager,7,100.34,05-04-2024,En préparation,0.19,Commande standard - lot 6
1077,F-600,Automobile,999,,03-06-2023,Retourné,0.07,Commande standard - lot 20
1900,F-600,Jardin,3,94.62,04-05-2024,Retourné,0.03,Commande standard - lot 4
1210,D-400,Electroménager,5,292.39,18-11-2024,en préparation,0.18,Commande standard - lot 19
1260,F-600,Electroménager,7,,2023-10-18,Retourné,10%,Commande standard - lot 9
1159,D-400,Automobile,10,330.15,2023-02-27,Annulé,0.05,Commande standard - lot 12
1496,G-700,Maison,3,51.18,28-11-2024,En préparation,0.2,Commande standard - lot 11
1527,C-300,Jardin,9,479.69,date inconnue,Expédié,0.21,Commande standard - lot 13
1332,D-400,Informatique,2,398.58,22-06-2024,Retourné,0.25,Commande standard - lot 16
1955,F-600,Electroménager,6,190.06,23-04-2024,En attente,0.18,Commande standard - lot 9
1315,A-100,Electroménager,1,215.72,2024-12-14,En attente,0.07,Commande standard - lot 8
1295, E-500 ,Automobile,5,132.19,28-08-2024,En préparation,0.05,Commande standard - lot 2
1382,C-300,Jouets,9,175.36,2024-09-17,Retourné,0.13,Commande standard - lot 13
1923,F-600,Maison,1,456.64,26-09-2023,En attente,0.28,Commande standard - lot 12
1982,E-500,Sport,4,291.27,10/04/2023,livré,0.07,Commande standard - lot 17
1878,C-300,Jardin,2,378.77,date inconnue,Annulé,10%,Commande standard - lot 9
1622,C-300,Automobile,1,326.57,05/30/2023,Annulé,0.27,Commande standard - lot 7
1936,A-100,Electroménager,1,290.92,14-03-2024,expédié,0.27,Commande standard - lot 17
1060,D-400,Maison,7,344.98,2023-03-29,en attente,0.17,Commande standard - lot 4
1626,D-400,Jardin,1,107.18,03-05-2023,En préparation,0.25,Commande standard - lot 17
1559,D-400,Informatique,3,140.82,10/30/2023,Annulé,0.24,Commande standard - lot 4
1746, A-100 ,Automobile,7,90.9,02-09-2023,Livré,0.25,Commande standard - lot 15
1381,D-400,Electroménager,9,491.06,date inconnue,Expédié,0.21,Commande standard - lot 17
1055,A-100,Informatique,8,490.56,10/22/2024,Expédié,0.2,Commande standard - lot 20
1024,G-700,Informatique,9,65.07,27-06-2024,Annulé,0.13,Commande standard - lot 15
1031,G-700,Automobile,1,255.45,2024-05-16,En attente,0.22,Commande standard - lot 9
1895,D-400,Sport,8,345.9,08/25/2024,Livré ,0.05,Commande standard - lot 16
1430,F-600,Jouets,10,154.26,15-04-2023,Annulé,0.1,Commande standard - lot 13
1011,A-100,Maison,2,213.83,03/19/2023,annulé,10%,
1950,B-200,Electroménager,4,,date inconnue,En attente,0.14,Commande standard - lot 2
1812,G-700,Electroménager,2,362.02,2024-09-13,En préparation,0.1,Commande standard - lot 14
1483,B-200,Electroménager,5,,19-04-2023,Retourné,0.27,Commande standard - lot 10
1446,F-600,Electroménager,7,262.43,2024-05-31,En préparation,0.14,Commande standard - lot 4
1200,C-300,Informatique,5,393.26,01/03/2024,Expédié,0.12,Commande standard - lot 10
1501,B-200,Jardin,7,498.24,2024-05-02,Livré,0.17,Commande standard - lot 13
1775, A-100 ,Jouets,5,85.12,2024-01-06,Livré,0.26,Commande standard - lot 1
1108,G-700,Jouets,7,458.97,08-11-2024,En préparation,0.22,Commande standard - lot 1
1219,E-500,Informatique,7,430.5,03-06-2023,Expédié,0.23,
1421,B-200,Jouets,9,90.05,2023-06-10,En préparation,,Commande standard - lot 7
1175, F-600 ,Maison,8,295.51,22-09-2023,retourné ,,Commande standard - lot 7
1722,G-700,Jouets,5,337.27,12/07/2024,Expédié ,0.21,Commande standard - lot 2
1520,D-400,Automobile,7,17201.0,01-03-2024,Livré,0.18,Commande standard - lot 15
1454,F-600,Electroménager,2,63.09,2024-03-20,Retourné,0.18,Commande standard - lot 13
1932,B-200,Maison,2,335.1,08/02/2024,expédié,0.1,Commande standard - lot 6
1040,E-500,Jardin,2,30383.999999999996,21-11-2024,Annulé,0.23,Commande standard - lot 15
1552,G-700,Informatique,9,13.96,22-01-2024,En préparation,0.29,Commande standard - lot 7
1917,F-600,Sport,7,266.34,16-06-2024,annulé,0.02,
1352,D-400,Electroménager,3,432.14,2024-12-17,Livré,0.04,Commande standard - lot 12
1067,G-700,Sport,2,178.79,2023-06-01,expédié,0.05,Commande standard - lot 16
1278, E-500 ,Sport,6,484.96,date inconnue,En attente,0.26,Commande standard - lot 11
1068,D-400,Automobile,10,319.47,10/04/2024,En préparation,0.11,
1909,B-200,Electroménager,3,131.45,29-09-2024,Annulé,0.21,
1735,B-200,Jardin,1,,30-09-2023,annulé,0.24,Commande standard - lot 16
1843, C-300 ,Maison,1,198.13,12-04-2024,expédié,0.1,Commande standard - lot 9
1297,D-400,Maison,8,193.0,29-05-2023,en attente,0.2,
1619,A-100,Informatique,3,188.3,10/31/2024,Annulé,0.07,Commande standard - lot 7
1599,D-400,Jouets,3,271.28,22-12-2023,Retourné,0.24,
1818,G-700,Electroménager,4,183.85,01/28/2023,En préparation,0.23,Commande standard - lot 11
1807,C-300,Electroménager,9,367.98,07/14/2024,En attente,0.19,Commande standard - lot 8
1424,F-600,Jardin,1,315.9,15-12-2024,Retourné,0.11,Commande standard - lot 17
1759,B-200,Informatique,2,2679.0,04-03-2024,En préparation,0.27,
1313,D-400,Jardin,4,67.97,date inconnue,en préparation,0.09,Commande standard - lot 20
1185,B-200,Sport,9,23.49,01-07-2024,Expédié ,0.03,Commande standard - lot 4
1333,C-300,Maison,3,382.98,30-01-2023,Expédié,0.04,
1089, A-100 ,Jouets,10,310.96,07/12/2024,Retourné,0.02,
1064,E-500,Maison,4,145.21,11/14/2024,Expédié,,Commande standard - lot 7
1833,G-700,Automobile,9,275.33,2023-07-14,en attente,0.29,Commande standard - lot 11
1577,A-100,Maison,2,441.67,09/07/2024,Retourné,0.02,Commande standard - lot 9
1216,E-500,Automobile,6,253.41,20-03-2023,Retourné,0.2,Commande standard - lot 11
1605,G-700,Jardin,3,166.92,10-03-2024,En attente,.5,Commande standard - lot 6
1549,D-400,Electroménager,3,427.33,13-02-2024,Expédié,0.2,
1291,F-600,Automobile,8,313.51,04/05/2024,Livré,,Commande standard - lot 8
1789,G-700,Electroménager,10,104.46,02/04/2024,En préparation,0.12,Commande standard - lot 18
1890,E-500,Automobile,4,117.84,09/22/2023,En attente,0.01,Commande standard - lot 3
1968,A-100,Electroménager,6,115.02,2024-10-09,retourné,0.21,Commande standard - lot 9
1945,C-300,Jouets,2,24100.0,07-08-2023,Livré,0.05,Commande standard - lot 9
1828,A-100,Sport,7,499.23,01-02-2024,en préparation,0.26,
1808,B-200,Informatique,7,287.85,02/22/2024,en préparation,0.25,Commande standard - lot 4
1695,E-500,Informatique,6,262.61,2023-06-20,Retourné,0.22,Commande standard - lot 15
1994,G-700,Sport,8,240.76,09/24/2023,Expédié,0.12,Commande standard - lot 8
1310,G-700,Maison,-7,267.45,06-07-2024,En préparation,0.04,Commande standard - lot 16
1087, F-600 ,Jardin,9,321.7,19-03-2024,Expédié,0.07,Commande standard - lot 17
1740,E-500,Jouets,2,148.03,2023-11-28,Annulé,0.08,Commande standard - lot 7
1517,E-500,Jardin,5,267.6,11/27/2023,En préparation,0.04,Commande standard - lot 1
1311,D-400,Jouets,1,129.43,2024-04-09,Expédié,0.03,Commande standard - lot 15
1537, D-400 ,Sport,1,309.53,06/08/2024,En préparation,0.04,Commande standard - lot 15
1137,G-700,Electroménager,10,165.21,01-10-2023,Retourné,0.08,Commande standard - lot 5
1874,A-100,Automobile,9,369.66,04/05/2024,Livré,0.16,Commande standard - lot 12
1466,F-600,Jouets,9,88.42,2023-08-19,Expédié,0.05,Commande standard - lot 11
1903,C-300,Maison,10,233.3,06/22/2023,Livré,0.07,Commande standard - lot 9
1262,C-300,Jardin,-3,154.65,2023-10-10,Retourné,0.28,Commande standard - lot 11
1487,G-700,Maison,3,241.82,2023-10-13,Expédié,0.14,Commande standard - lot 20
1169, E-500 ,Jardin,9,240.04,03/22/2023,retourné,0.04,Commande standard - lot 15
1831, G-700 ,Automobile,8,461.93,2024-09-08,livré,0.06,Commande standard - lot 3
1448,F-600,Electroménager,6,302.34,26-01-2024,Retourné,0.09,
1140, A-100 ,Automobile,-8,230.98,2024-12-06,Retourné,0.02,Commande standard - lot 6
1741,G-700,Automobile,3,344.56,07/29/2023,Annulé,0.18,Commande standard - lot 11
1665,A-100,Informatique,8,49638.0,2024-12-12,En préparation,0.29,Commande standard - lot 16
1856,B-200,Jardin,3,268.59,2024-12-24,Retourné,0.22,Commande standard - lot 9
1441, A-100 ,Automobile,7,89.46,07/22/2023,En préparation,0.22,Commande standard - lot 7
9003,G-700,Automobile,3,,2023-06-13,En attente,0.23,Commande standard - lot 5
1532,D-400,Maison,9,265.82,12/06/2023,Annulé,0.1,Commande standard - lot 14
1056, A-100 ,Maison,4,415.76,08/27/2023,En préparation,0.16,Commande standard - lot 4
1121,F-600,Maison,7,363.46,2023-02-24,En attente,0.29,Commande standard - lot 9
1529,B-200,Jardin,3,15.31,24-06-2023,Expédié,0.03,Commande standard - lot 19
1026,F-600,Jardin,7,417.28,2024-12-13,Annulé ,0.29,Commande standard - lot 18
1073,B-200,Informatique,3,386.58,08-02-2023,Livré,0.21,Commande standard - lot 6
1045,C-300,Sport,7,350.26,2024-02-25,Livré,0.25,Commande standard - lot 16
1250, G-700 ,Automobile,1,411.9,date inconnue,Annulé ,0.29,
1395,G-700,Automobile,3,319.72,18-01-2024,En préparation,0.0,Commande standard - lot 20
1915,F-600,Jardin,2,,11/15/2024,En attente,0.26,Commande standard - lot 8
1901,A-100,Automobile,9,321.51,date inconnue,annulé,0.3,Commande standard - lot 3
1747,D-400,Jardin,10,106.54,06/20/2024,livré,0.04,
1199,C-300,Sport,10,447.46,2024-03-08,annulé,,
1817,F-600,Maison,3,415.64,2023-12-12,En attente,0.03,Commande standard - lot 14
1356,G-700,Electroménager,7,59.86,2024-10-26,Annulé,0.08,Commande standard - lot 11
1324,C-300,Maison,8,497.06,03/28/2024,retourné,,Commande standard - lot 4
1877,A-100,Jouets,4,469.68,02/08/2024,en préparation,0.14,
1744, G-700 ,Electroménager,9,372.8,date inconnue,Retourné ,0.13,Commande standard - lot 20
1236,F-600,Jouets,7,184.77,2024-02-28,En préparation,0.22,Commande standard - lot 13
1579,E-500,Sport,-9,49.68,2024-07-20,retourné,0.12,Commande standard - lot 10
1948,C-300,Electroménager,1,414.95,2024-08-21,Annulé,10%,Commande standard - lot 20
1942,D-400,Automobile,6,8.03,2023-06-22,Retourné,0.24,Commande standard - lot 16
1906,D-400,Electroménager,9,196.58,date inconnue,Livré,0.1,Commande standard - lot 5
1300,A-100,Informatique,7,483.75,09/17/2023,En attente,0.21,Commande standard - lot 11
1061,D-400,Jouets,7,302.2,2023-08-06,Retourné,0.08,Commande standard - lot 14
1328,D-400,Jardin,10,193.98,date inconnue,Livré,.5,
1528,A-100,Automobile,5,320.27,2023-01-04,En préparation,0.07,Commande standard - lot 3
1600,G-700,Informatique,8,317.4,11/27/2023,Annulé,,Commande standard - lot 12
1542,D-400,Jardin,1,330.31,2023-12-30,En attente,,Commande standard - lot 17
1650,G-700,Informatique,1,85.13,05/10/2024,En préparation,0.19,Commande standard - lot 4
1918,G-700,Informatique,6,191.64,2023-01-23,En préparation,0.16,Commande standard - lot 6
1597,A-100,Sport,2,49.83,28-08-2024,Expédié,0.22,Commande standard - lot 7
1543,G-700,Informatique,6,91.38,07/30/2024,En attente,0.12,Commande standard - lot 16
1963,G-700,Jardin,9,326.29,date inconnue,Expédié,0.06,Commande standard - lot 7
1306,B-200,Informatique,2,238.25,date inconnue,Retourné ,0.03,Commande standard - lot 19
1319,E-500,Maison,1,265.71,25-11-2024,Livré,0.26,Commande standard - lot 15
1482,G-700,Sport,4,455.02,2024-06-23,Retourné ,0.0,Commande standard - lot 2
1494, A-100 ,Sport,1,321.0,06-08-2024,Expédié,,Commande standard - lot 10
1266,D-400,Maison,3,100.66,01/16/2023,En attente,0.29,Commande standard - lot 20
1111,C-300,Jouets,9,474.52,03-10-2024,En attente ,0.16,Commande standard - lot 14
1469,B-200,Maison,2,74.24,date inconnue,Retourné,,Commande standard - lot 11
1738,B-200,Maison,8,,date inconnue,Expédié,10%,Commande standard - lot 9
1526,F-600,Maison,5,109.97,2023-12-08,En attente,0.09,Commande standard - lot 20
1257,E-500,Electroménager,7,71.76,29-10-2024,En préparation,0.13,Commande standard - lot 19
1261,F-600,Jouets,1111,193.45,11/20/2023,Annulé,0.01,Commande standard - lot 17
1545, B-200 ,Electroménager,8,490.76,2023-08-31,En préparation,0.08,
1406,D-400,Sport,999,421.19,06/05/2024,Livré,0.02,Commande standard - lot 14
1429,F-600,Jardin,9,98.83,2024-03-14,En préparation,0.12,Commande standard - lot 3
1629,G-700,Informatique,8,273.47,2024-08-05,Annulé,0.18,Commande standard - lot 15
1502,A-100,Maison,7,16.36,16-09-2023,en préparation,0.26,Commande standard - lot 9
1433,C-300,Automobile,1,14779.0,12/06/2023,En préparation,0.21,Commande standard - lot 13
1733,D-400,Automobile,-7,319.24,10/13/2023,Annulé,0.14,Commande standard - lot 8
1138,B-200,Maison,4,290.83,2024-04-07,Retourné,0.26,Commande standard - lot 16
1358,A-100,Jardin,10,473.89,03/21/2024,Retourné,0.08,Commande standard - lot 13
1931,A-100,Jardin,9,14.45,31-03-2024,en attente,10%,Commande standard - lot 12
1222,D-400,Informatique,7,214.66,11/27/2024,En préparation,0.08,Commande standard - lot 12
1755,D-400,Electroménager,6,388.66,27-08-2024,En préparation,10%,Commande standard - lot 15
1595,A-100,Jouets,1,427.03,07-12-2023,Livré,0.0,Commande standard - lot 14
1558, G-700 ,Jouets,10,369.03,02-02-2024,Retourné,0.23,Commande standard - lot 13
1364,B-200,Informatique,3,333.25,05-01-2023,Annulé,0.1,Commande standard - lot 4
1524,A-100,Electroménager,-4,98.02,27-08-2024,Annulé,0.15,Commande standard - lot 8
1209,E-500,Maison,4,209.26,2023-06-14,En préparation,0.02,Commande standard - lot 18
1858, B-200 ,Jouets,4,463.27,01/30/2023,En préparation,0.26,Commande standard - lot 14
1335,G-700,Sport,4,19.48,12-10-2023,Livré,0.02,Commande standard - lot 1
1211,B-200,Maison,6,393.9,10/11/2023,En préparation,0.15,
1351,D-400,Jouets,3,64.72,06/21/2024,En attente,0.18,Commande standard - lot 8
1079,A-100,Jardin,1,13.04,03-11-2024,Expédié,0.24,Commande standard - lot 15
1030,E-500,Jouets,2,291.45,01/20/2024,Retourné,0.09,Commande standard - lot 4
1281,C-300,Electroménager,2,290.89,2023-11-25,En préparation,0.05,
1508,B-200,Electroménager,6,411.11,01/08/2023,En préparation,0.27,Commande standard - lot 1
1653,F-600,Sport,10,28.26,11-12-2024,En préparation,0.25,Commande standard - lot 5
1949,A-100,Automobile,2,431.0,2024-06-27,Expédié ,0.08,Commande standard - lot 13
1290,B-200,Jardin,3,420.78,2024-11-17,en préparation,0.29,Commande standard - lot 5
1166, F-600 ,Jouets,3,,07/14/2023,Retourné,0.03,Commande standard - lot 18
1763, F-600 ,Maison,1,239.22,05/02/2023,En préparation,0.13,Commande standard - lot 8
1498,G-700,Automobile,2,151.33,2023-12-28,Expédié,0.26,Commande standard - lot 5
1463,G-700,Sport,3,330.49,2023-10-01,Retourné,0.14,Commande standard - lot 12
1066,F-600,Maison,2,474.07,2024-01-06,En attente,0.09,Commande standard - lot 11
1142, D-400 ,Automobile,2,194.45,18-10-2024,en préparation,0.06,Commande standard - lot 14
1276,G-700,Jardin,7,110.11,2023-09-18,Livré,0.12,Commande standard - lot 1
1834,A-100,Jardin,5,141.32,29-07-2023,Livré,0.22,Commande standard - lot 17
1583,E-500,Maison,9,365.14,04/21/2023,En préparation ,0.03,Commande standard - lot 5
1465,F-600,Jardin,1,366.74,24-11-2024,retourné ,.5,Commande standard - lot 18
1669,F-600,Maison,1,471.66,04/07/2024,Annulé,0.12,Commande standard - lot 19
1320, A-100 ,Informatique,5,60.45,29-07-2023,retourné,0.13,Commande standard - lot 1
1717,G-700,Informatique,2,437.75,02-11-2023,Retourné,0.07,Commande standard - lot 9
1307,A-100,Electroménager,2,403.2,11/25/2024,livré,0.06,
1308,B-200,Electroménager,5,278.94,2023-02-11,Expédié,0.02,
1827,G-700,Sport,6,100.06,04-09-2023,Livré,0.05,Commande standard - lot 1
1334,F-600,Electroménager,-2,102.19,2024-08-30,en attente,,Commande standard - lot 4
1050,A-100,Jouets,7,373.61,05/23/2024,En préparation,0.22,Commande standard - lot 5
1732,D-400,Automobile,3,173.33,23-08-2023,En attente,0.29,Commande standard - lot 1
1003,A-100,Automobile,10,39.43,2023-03-23,Expédié,0.2,Commande standard - lot 3
1787,F-600,Jouets,1,77.76,01/13/2024,En attente,0.04,Commande standard - lot 7
1353,G-700,Jouets,10,32.06,17-09-2023,En attente,0.26,Commande standard - lot 13
1911,E-500,Sport,4,60.8,01/31/2023,En préparation,0.01,Commande standard - lot 7
1539,B-200,Jardin,3,153.94,01/07/2023,Annulé,,Commande standard - lot 4
1347,C-300,Sport,9,327.51,19-03-2024,Annulé,0.16,Commande standard - lot 17
9002,E-500,Maison,9,309.07,05/24/2024,En préparation,0.14,Commande standard - lot 7
1484,C-300,Informatique,1,15.5,16-04-2023,en attente,,Commande standard - lot 5
1661,F-600,Electroménager,5,425.47,12/19/2023,En préparation,0.23,Commande standard - lot 18
1034,C-300,Jouets,4,267.81,12/05/2023,Retourné,0.22,Commande standard - lot 6
1032,E-500,Sport,8,164.54,10/13/2023,En préparation,0.1,Commande standard - lot 12
1232,B-200,Sport,6,351.85,10/14/2023,En préparation,0.24,Commande standard - lot 13
1753,G-700,Automobile,5,358.15,2023-02-13,en attente,0.17,Commande standard - lot 17
1193,D-400,Electroménager,8,251.74,2024-10-31,Expédié ,0.29,Commande standard - lot 17
1514,D-400,Sport,-9,65.19,14-06-2024,En préparation,10%,Commande standard - lot 3
1004,E-500,Sport,4,321.8,2023-02-27,Expédié,,Commande standard - lot 19
1205,E-500,Jardin,8,259.38,04-07-2024,Expédié,0.25,Commande standard - lot 14
1434,E-500,Jardin,1,30.79,2023-05-09,En préparation,0.22,Commande standard - lot 7
1809,C-300,Maison,2,473.0,01/18/2024,Expédié,0.06,Commande standard - lot 1
1987,C-300,Jardin,7,277.61,2023-07-07,En attente,0.14,Commande standard - lot 14
1110,A-100,Jardin,10,26.9,2023-02-27,Annulé,0.23,Commande standard - lot 8
1943, F-600 ,Maison,10,221.08,2024-07-17,Retourné,0.21,
1078, D-400 ,Automobile,999,14918.0,08/07/2024,En préparation,0.15,Commande standard - lot 18
1085, G-700 ,Informatique,8,493.35,17-07-2024,Livré,0.24,Commande standard - lot 4
1589,C-300,Informatique,5,366.01,18-09-2023,Annulé,0.05,Commande standard - lot 5
1083,F-600,Sport,3,391.75,date inconnue,Retourné,0.28,Commande standard - lot 3
1255,E-500,Electroménager,10,170.52,2023-05-04,Retourné,,Commande standard - lot 13
1925,A-100,Informatique,8,21.25,18-11-2023,expédié,0.26,Commande standard - lot 10
1409,G-700,Jardin,4,235.94,06-12-2023,En attente,0.01,
1654,E-500,Sport,7,474.71,03/07/2024,En attente,0.2,Commande standard - lot 20
1522,F-600,Maison,1,168.02,04-10-2023,En préparation,0.18,Commande standard - lot 14
1921,F-600,Maison,3,189.56,date inconnue,En attente,0.11,Commande standard - lot 19
1437,A-100,Jouets,6,485.39,18-10-2024,Expédié ,0.06,Commande standard - lot 9
1006,B-200,Automobile,7,236.68,12-01-2023,retourné,0.09,Commande standard - lot 1
1405,E-500,Electroménager,2,193.82,27-08-2023,Retourné,0.03,Commande standard - lot 1
1468,C-300,Electroménager,6,55.16,2024-06-10,en attente,0.12,Commande standard - lot 14
1098,E-500,Maison,5,242.5,10/08/2023,Expédié,0.23,Commande standard - lot 2
1560,C-300,Maison,5,,date inconnue,Expédié,0.28,Commande standard - lot 20
1360,F-600,Informatique,7,52.16,08/29/2023,Livré,0.01,Commande standard - lot 20
1875,D-400,Sport,1,35.1,02/23/2024,Expédié,0.26,Commande standard - lot 17
1267,D-400,Automobile,8,305.93,08-02-2024,Retourné,0.03,Commande standard - lot 2
1678, E-500 ,Maison,7,,20-03-2024,Annulé,0.03,Commande standard - lot 8
1383,G-700,Maison,2,371.33,2023-10-18,Expédié,.5,Commande standard - lot 18
1694,A-100,Electroménager,3,79.0,2024-11-15,Retourné,0.24,
1412,G-700,Sport,7,319.89,2024-08-24,Annulé,0.04,Commande standard - lot 19
1888,C-300,Jardin,10,202.09,date inconnue,Annulé,0.07,Commande standard - lot 20
1119,F-600,Jouets,1,3278.0,05/26/2024,Retourné,0.01,Commande standard - lot 19
1431,F-600,Automobile,3,162.39,2023-12-10,Annulé,0.21,
1251,F-600,Jardin,4,474.01,19-04-2023,Annulé,0.05,Commande standard - lot 11
1343,E-500,Sport,3,485.58,10/19/2023,expédié ,0.01,Commande standard - lot 11
1010,A-100,Electroménager,9,70.49,2024-04-29,En attente,0.14,Commande standard - lot 4
1197,B-200,Informatique,2,254.53,2024-12-10,Livré,0.18,Commande standard - lot 17
1986,G-700,Jouets,10,340.38,date inconnue,En attente,0.21,Commande standard - lot 7
1082,E-500,Electroménager,2,360.24,2024-04-02,Retourné,0.28,
1914,F-600,Maison,5,339.76,date inconnue,Retourné ,0.11,Commande standard - lot 11
1479,B-200,Automobile,1,26962.0,09/11/2024,livré,0.18,Commande standard - lot 2
1697,F-600,Maison,5,457.11,11/13/2024,Annulé ,0.05,
1240,E-500,Electroménager,9,200.4,02/04/2024,En préparation,0.24,Commande standard - lot 10
1293, E-500 ,Sport,2,336.01,08/16/2024,annulé,0.14,Commande standard - lot 14
1212,F-600,Automobile,5,135.3,date inconnue,Expédié,0.23,Commande standard - lot 2
1723,C-300,Sport,6,331.01,05/30/2023,Retourné,0.23,Commande standard - lot 16
1362,A-100,Jardin,5,439.08,28-09-2023,Livré,0.17,Commande standard - lot 15
1452,F-600,Automobile,3,340.56,2024-02-05,Annulé,0.03,Commande standard - lot 19
1228, G-700 ,Electroménager,5,340.07,28-12-2023,annulé,0.25,
1908,D-400,Informatique,5,134.52,04-08-2023,Livré,0.03,Commande standard - lot 11
1363,A-100,Electroménager,4,236.23,2024-05-21,En attente,0.26,Commande standard - lot 3
1803,A-100,Maison,6,324.58,29-03-2023,En préparation,0.02,Commande standard - lot 10
1658,G-700,Jardin,7,421.95,17-10-2024,Livré,0.24,Commande standard - lot 16
1708,D-400,Electroménager,6,313.69,09-09-2024,livré,0.11,Commande standard - lot 16
1645,F-600,Maison,1,68.33,2023-02-09,Annulé,0.05,Commande standard - lot 17
1582,E-500,Electroménager,10,159.53,01/24/2023,Livré,0.13,Commande standard - lot 14
1778,E-500,Automobile,10,117.24,21-05-2024,En attente,0.0,Commande standard - lot 12
1371,B-200,Jardin,7,245.93,05-01-2024,Retourné,0.06,Commande standard - lot 7
1008,A-100,Automobile,5,43.98,2024-06-29,En préparation,0.29,Commande standard - lot 7
1156,E-500,Automobile,-2,224.5,2023-12-06,Expédié,0.15,Commande standard - lot 14
1544,D-400,Sport,3,265.09,08/17/2024,Annulé,,Commande standard - lot 6
1443,F-600,Electroménager,2,262.44,05/12/2024,Livré,0.07,Commande standard - lot 13
1823,A-100,Maison,10,91.69,08/17/2023,En préparation,0.19,
1399,C-300,Automobile,1,9.63,27-11-2024,Livré,0.29,Commande standard - lot 2
1784,F-600,Jouets,1,370.24,09/02/2023,Expédié,0.15,Commande standard - lot 14
1569,E-500,Jouets,1,455.78,03/22/2024,En attente,0.15,Commande standard - lot 1
1592,B-200,Automobile,5,247.6,07/25/2024,Retourné ,0.22,Commande standard - lot 18
1581,F-600,Automobile,7,138.65,date inconnue,Retourné,,Commande standard - lot 18
1941, D-400 ,Automobile,4,9.19,29-12-2023,en préparation,10%,Commande standard - lot 1
1696, F-600 ,Sport,1,36865.0,04/26/2024,en attente,0.26,Commande standard - lot 14
1869,F-600,Maison,7,329.3,13-11-2024,Annulé,0.07,Commande standard - lot 5
1533,G-700,Automobile,6,344.34,24-10-2023,Annulé,.5,
1586,A-100,Electroménager,999,221.61,date inconnue,En attente,0.13,
1713,A-100,Maison,6,203.28,10-02-2024,En préparation,0.26,Commande standard - lot 2
1451,C-300,Jouets,10,353.55,2023-12-08,Retourné,0.26,Commande standard - lot 16
1781,C-300,Jardin,-1,51.07,2024-09-05,livré,0.17,Commande standard - lot 3
1229,B-200,Maison,4,343.14,2023-07-24,Retourné,0.11,Commande standard - lot 4
1591, C-300 ,Electroménager,3,166.91,07/27/2024,En attente,0.02,Commande standard - lot 7
